municipio,uf,estado,regiao,populacao,renda_media_mensal,pib_anual_mil_reais,pib_per_capita_reais
Municipio GO-128,GO,Goiás,Centro-Oeste,12807,2211.77,326790.21,25516.53
Municipio RS-303,RS,Rio Grande do Sul,Sul,6207,1449.53,110081.83,17735.11
Municipio PE-108,PE,Pernambuco,Nordeste,206185,694.13,2174520.64,10546.45
Municipio RS-283,RS,Rio Grande do Sul,Sul,52876,1058.34,1001915.4,18948.4
Municipio BA-320,BA,Bahia,Nordeste,35143,758.56,447217.31,12725.64
Municipio RN-071,RN,Rio Grande do Norte,Nordeste,18286,1222.9,302465.12,16540.8
Municipio MS-016,MS,Mato Grosso do Sul,Centro-Oeste,2531,1039.08,50402.85,19914.2
Municipio MG-560,MG,Minas Gerais,Sudeste,51926,2423.8,1747076.67,33645.51
Municipio RO-028,RO,Rondônia,Norte,9096,1270.56,217858.99,23951.08
Municipio SP-404,SP,São Paulo,Sudeste,8153,2069.71,196070.49,24048.88
Municipio SE-007,SE,Sergipe,Nordeste,7738,1287.13,117829.09,15227.33
Municipio PB-163,PB,Paraíba,Nordeste,5755,944.24,79174.5,13757.52
Municipio SC-149,SC,Santa Catarina,Sul,98932,1122.64,1604666.47,16219.89
Municipio SP-110,SP,São Paulo,Sudeste,15729,1021.79,195361.97,12420.5
Municipio MT-040,MT,Mato Grosso,Centro-Oeste,37343,1129.43,456632.98,12228.07
Municipio CE-089,CE,Ceará,Nordeste,13754,1319.06,329818.84,23979.85
Municipio MG-267,MG,Minas Gerais,Sudeste,10943,2207.69,439272.8,40141.9
Municipio RN-021,RN,Rio Grande do Norte,Nordeste,2998,1149.4,64536.75,21526.6
Municipio GO-062,GO,Goiás,Centro-Oeste,15970,1437.29,433485.15,27143.72
Municipio PB-222,PB,Paraíba,Nordeste,9459,1291.0,165508.5,17497.46
Municipio SC-121,SC,Santa Catarina,Sul,18449,1306.71,295931.06,16040.49
Municipio RS-154,RS,Rio Grande do Sul,Sul,8638,1222.25,181593.88,21022.68
Municipio SP-618,SP,São Paulo,Sudeste,51273,1281.67,929681.72,18131.99
Municipio CE-105,CE,Ceará,Nordeste,10040,725.58,101884.59,10147.87
Municipio MG-242,MG,Minas Gerais,Sudeste,1782,2019.32,42068.67,23607.56
Municipio MS-013,MS,Mato Grosso do Sul,Centro-Oeste,16176,1944.13,516281.06,31916.48
Municipio PB-156,PB,Paraíba,Nordeste,19787,783.74,243799.3,12321.19
Municipio PA-031,PA,Pará,Norte,43701,1337.12,858820.9,19652.2
Municipio PR-174,PR,Paraná,Sul,1617,2208.95,54567.37,33746.05
Municipio GO-235,GO,Goiás,Centro-Oeste,11451,2050.34,311758.34,27225.42
Municipio RJ-081,RJ,Rio de Janeiro,Sudeste,2130,1851.65,71514.79,33575.02
Municipio RN-069,RN,Rio Grande do Norte,Nordeste,1382,825.4,16307.35,11799.82
Municipio RN-116,RN,Rio Grande do Norte,Nordeste,12395,1317.26,269507.75,21743.26
Municipio PI-076,PI,Piauí,Nordeste,22701,1201.98,386392.9,17020.96
Municipio RO-037,RO,Rondônia,Norte,11391,893.89,188431.24,16542.12
Municipio PR-300,PR,Paraná,Sul,140229,1400.61,2847400.21,20305.36
Municipio MS-031,MS,Mato Grosso do Sul,Centro-Oeste,5075,2041.69,158727.24,31276.3
Municipio MG-528,MG,Minas Gerais,Sudeste,6053,998.22,101639.25,16791.55
Municipio MT-060,MT,Mato Grosso,Centro-Oeste,34594,1555.09,669796.05,19361.62
Municipio SP-100,SP,São Paulo,Sudeste,3190,2030.56,116738.37,36595.1
Municipio AM-060,AM,Amazonas,Norte,9392,641.77,93390.45,9943.62
Municipio BA-249,BA,Bahia,Nordeste,22310,630.9,192644.05,8634.87
Municipio MG-082,MG,Minas Gerais,Sudeste,17536,1380.29,326096.11,18595.81
Municipio SP-223,SP,São Paulo,Sudeste,33081,1977.91,1141338.82,34501.34
Municipio PR-225,PR,Paraná,Sul,36105,2340.23,1385521.62,38374.79
Municipio SC-008,SC,Santa Catarina,Sul,3939,1689.91,104532.9,26537.93
Municipio MG-256,MG,Minas Gerais,Sudeste,3567,1789.49,105642.32,29616.57
Municipio MS-010,MS,Mato Grosso do Sul,Centro-Oeste,8122,1153.01,134738.54,16589.33
Municipio TO-124,TO,Tocantins,Norte,71271,979.0,1064501.81,14935.97
Municipio RS-060,RS,Rio Grande do Sul,Sul,13237,1495.58,292261.81,22079.16
Municipio PR-217,PR,Paraná,Sul,18138,1745.63,387782.18,21379.54
Municipio PE-175,PE,Pernambuco,Nordeste,58680,825.15,659280.91,11235.19
Municipio SP-485,SP,São Paulo,Sudeste,57137,1500.12,929571.73,16269.17
Municipio PR-377,PR,Paraná,Sul,21660,1163.21,415540.34,19184.69
Municipio MG-837,MG,Minas Gerais,Sudeste,9346,2113.61,363603.23,38904.69
Municipio MG-003,MG,Minas Gerais,Sudeste,9022,1458.62,153117.33,16971.55
Municipio SC-087,SC,Santa Catarina,Sul,4298,1451.28,84570.76,19676.77
Municipio RS-123,RS,Rio Grande do Sul,Sul,3565,1722.94,112947.43,31682.31
Municipio SP-635,SP,São Paulo,Sudeste,42709,1870.68,1425307.45,33372.53
Municipio MG-394,MG,Minas Gerais,Sudeste,19910,2476.92,643111.29,32300.92
Municipio CE-009,CE,Ceará,Nordeste,3863,947.81,65261.91,16894.1
Municipio BA-205,BA,Bahia,Nordeste,6845,1131.41,115612.5,16890.07
Municipio CE-017,CE,Ceará,Nordeste,3643,1051.44,71543.1,19638.51
Municipio MG-231,MG,Minas Gerais,Sudeste,5295,1745.48,149967.62,28322.5
Municipio PE-051,PE,Pernambuco,Nordeste,49201,546.79,314339.65,6388.89
Municipio PB-042,PB,Paraíba,Nordeste,53096,843.45,820828.79,15459.33
Municipio GO-023,GO,Goiás,Centro-Oeste,17969,2109.01,492771.82,27423.44
Municipio BA-271,BA,Bahia,Nordeste,15903,1122.28,217069.37,13649.59
Municipio PB-187,PB,Paraíba,Nordeste,20135,916.89,235549.44,11698.51
Municipio TO-115,TO,Tocantins,Norte,5891,1406.27,102916.43,17470.11
Municipio GO-007,GO,Goiás,Centro-Oeste,13176,2314.55,349762.76,26545.44
Municipio SC-143,SC,Santa Catarina,Sul,5087,1205.73,102672.35,20183.28
Municipio RS-483,RS,Rio Grande do Sul,Sul,10115,1496.6,268224.63,26517.51
Municipio SP-321,SP,São Paulo,Sudeste,4373,2221.64,155768.31,35620.47
Municipio SP-254,SP,São Paulo,Sudeste,2311,1187.83,49786.03,21543.07
Municipio PB-040,PB,Paraíba,Nordeste,5186,1001.14,98995.51,19088.99
Municipio MG-608,MG,Minas Gerais,Sudeste,203956,1123.89,3212747.5,15752.16
Municipio TO-039,TO,Tocantins,Norte,8900,621.94,85726.81,9632.23
Municipio RS-253,RS,Rio Grande do Sul,Sul,42496,2038.9,1143063.93,26898.15
Municipio MT-095,MT,Mato Grosso,Centro-Oeste,18559,1773.84,468515.76,25244.67
Municipio PI-114,PI,Piauí,Nordeste,13657,806.85,202691.23,14841.56
Municipio MG-186,MG,Minas Gerais,Sudeste,8390,2276.96,314637.23,37501.46
Municipio PA-063,PA,Pará,Norte,301685,892.54,4811800.06,15949.75
Municipio PR-346,PR,Paraná,Sul,6178,2458.05,167040.75,27038.0
Municipio TO-034,TO,Tocantins,Norte,2574,894.48,38674.77,15025.16
Municipio GO-169,GO,Goiás,Centro-Oeste,6489,1707.51,161293.39,24856.43
Municipio SC-283,SC,Santa Catarina,Sul,11342,1339.56,290907.57,25648.7
Municipio BA-246,BA,Bahia,Nordeste,3995,1314.14,100309.92,25108.87
Municipio SP-069,SP,São Paulo,Sudeste,9806,1697.76,245154.69,25000.48
Municipio ES-013,ES,Espírito Santo,Sudeste,43502,1141.33,707479.43,16263.15
Municipio PR-134,PR,Paraná,Sul,17577,1819.37,398401.93,22666.09
Municipio TO-097,TO,Tocantins,Norte,9232,1392.19,193113.97,20917.89
Municipio TO-031,TO,Tocantins,Norte,17003,1379.89,428935.88,25227.07
Municipio MA-142,MA,Maranhão,Nordeste,11516,636.78,81969.84,7117.91
Municipio SP-359,SP,São Paulo,Sudeste,13780,1541.64,332011.83,24093.75
Municipio MG-668,MG,Minas Gerais,Sudeste,10199,1609.74,184752.01,18114.72
Municipio BA-318,BA,Bahia,Nordeste,3006,743.06,27774.72,9239.76
Municipio PE-160,PE,Pernambuco,Nordeste,10481,619.32,121092.72,11553.55
Municipio MG-503,MG,Minas Gerais,Sudeste,28536,1432.49,612887.85,21477.71
Municipio MG-311,MG,Minas Gerais,Sudeste,3036,1166.03,63105.17,20785.63
Municipio SC-128,SC,Santa Catarina,Sul,6586,2353.86,289760.08,43996.37
Municipio PR-379,PR,Paraná,Sul,66084,2481.02,1830388.44,27697.91
Municipio SE-030,SE,Sergipe,Nordeste,3144,970.44,35678.97,11348.27
Municipio BA-029,BA,Bahia,Nordeste,30129,1022.08,535178.77,17762.91
Municipio SC-246,SC,Santa Catarina,Sul,26460,2543.76,1052389.14,39772.83
Municipio RS-103,RS,Rio Grande do Sul,Sul,136448,2573.58,4607217.63,33765.37
Municipio RN-115,RN,Rio Grande do Norte,Nordeste,2789,678.82,35608.87,12767.61
Municipio SC-002,SC,Santa Catarina,Sul,19650,2528.04,711394.73,36203.29
Municipio RS-467,RS,Rio Grande do Sul,Sul,3819,1103.58,78712.62,20610.79
Municipio PA-138,PA,Pará,Norte,11059,791.33,147567.93,13343.7
Municipio SE-016,SE,Sergipe,Nordeste,18224,1056.97,229294.08,12581.98
Municipio MA-189,MA,Maranhão,Nordeste,11444,800.39,168203.46,14697.96
Municipio MG-057,MG,Minas Gerais,Sudeste,33759,1360.53,722961.55,21415.37
Municipio RS-227,RS,Rio Grande do Sul,Sul,31252,2058.71,734678.06,23508.19
Municipio MA-048,MA,Maranhão,Nordeste,32001,568.55,335785.39,10492.97
Municipio SC-117,SC,Santa Catarina,Sul,1818,1734.23,58273.93,32053.87
Municipio TO-015,TO,Tocantins,Norte,934,650.55,9766.46,10456.6
Municipio RS-075,RS,Rio Grande do Sul,Sul,42665,1204.57,812518.94,19044.16
Municipio BA-308,BA,Bahia,Nordeste,154252,1182.09,2546277.27,16507.26
Municipio MG-179,MG,Minas Gerais,Sudeste,24302,1611.18,617518.32,25410.19
Municipio TO-121,TO,Tocantins,Norte,3290,1193.65,68747.41,20895.87
Municipio MG-358,MG,Minas Gerais,Sudeste,20432,1218.64,338275.87,16556.18
Municipio MT-061,MT,Mato Grosso,Centro-Oeste,9922,2277.04,270313.7,27243.87
Municipio PI-112,PI,Piauí,Nordeste,10764,822.51,140494.59,13052.27
Municipio SP-553,SP,São Paulo,Sudeste,7419,1213.67,147271.03,19850.52
Municipio SP-393,SP,São Paulo,Sudeste,8750,2071.76,217031.5,24803.6
Municipio PB-041,PB,Paraíba,Nordeste,14828,1059.95,278521.81,18783.5
Municipio GO-201,GO,Goiás,Centro-Oeste,11490,2316.22,465898.95,40548.21
Municipio RN-013,RN,Rio Grande do Norte,Nordeste,7268,1135.02,151257.15,20811.39
Municipio PI-037,PI,Piauí,Nordeste,20786,1183.18,385738.23,18557.6
Municipio PB-166,PB,Paraíba,Nordeste,21931,976.44,267930.41,12216.97
Municipio SP-087,SP,São Paulo,Sudeste,780,2235.63,28199.76,36153.54
Municipio BA-109,BA,Bahia,Nordeste,3118,600.78,29595.27,9491.75
Municipio GO-210,GO,Goiás,Centro-Oeste,6787,1802.38,175642.59,25879.27
Municipio SP-371,SP,São Paulo,Sudeste,8346,1385.48,157532.5,18875.21
Municipio SP-423,SP,São Paulo,Sudeste,15123,2117.63,544980.71,36036.55
Municipio MG-270,MG,Minas Gerais,Sudeste,7818,1198.91,156418.95,20007.54
Municipio SC-044,SC,Santa Catarina,Sul,2431,2430.06,105528.38,43409.45
Municipio SP-096,SP,São Paulo,Sudeste,2788,1660.86,71612.25,25685.89
Municipio MG-181,MG,Minas Gerais,Sudeste,1506,2318.73,66520.51,44170.33
Municipio BA-359,BA,Bahia,Nordeste,2866,1266.64,50835.08,17737.29
Municipio SC-148,SC,Santa Catarina,Sul,49506,1258.12,728395.6,14713.28
Municipio MT-071,MT,Mato Grosso,Centro-Oeste,13051,2061.65,481306.18,36878.87
Municipio MG-038,MG,Minas Gerais,Sudeste,20628,1096.56,317479.97,15390.73
Municipio PR-349,PR,Paraná,Sul,6745,2218.08,206263.62,30580.23
Municipio PI-087,PI,Piauí,Nordeste,21619,1206.1,395328.78,18286.17
Municipio BA-122,BA,Bahia,Nordeste,7616,852.7,122598.43,16097.48
Municipio PE-028,PE,Pernambuco,Nordeste,52855,1146.27,966811.08,18291.76
Municipio SC-245,SC,Santa Catarina,Sul,6377,1772.61,164712.06,25829.08
Municipio SC-076,SC,Santa Catarina,Sul,12890,1610.09,298750.45,23176.92
Municipio SC-154,SC,Santa Catarina,Sul,16031,1793.39,420031.37,26201.2
Municipio PR-130,PR,Paraná,Sul,15266,1293.76,239262.33,15672.89
Municipio SC-018,SC,Santa Catarina,Sul,57883,2294.14,1607974.92,27779.74
Municipio PR-162,PR,Paraná,Sul,4819,1636.55,100774.02,20911.81
Municipio GO-095,GO,Goiás,Centro-Oeste,37414,2192.87,1445195.25,38627.12
Municipio SP-224,SP,São Paulo,Sudeste,43223,2137.74,1642329.45,37996.66
Municipio AM-004,AM,Amazonas,Norte,13389,814.43,204040.69,15239.43
Municipio MA-060,MA,Maranhão,Nordeste,5217,877.3,51899.37,9948.13
Municipio SP-219,SP,São Paulo,Sudeste,15399,1783.04,353714.18,22969.94
Municipio MG-545,MG,Minas Gerais,Sudeste,8089,1505.38,221464.54,27378.48
Municipio RN-055,RN,Rio Grande do Norte,Nordeste,53885,554.08,497251.43,9228.01
Municipio PI-224,PI,Piauí,Nordeste,17493,877.28,185025.22,10577.1
Municipio MA-133,MA,Maranhão,Nordeste,10454,857.2,146991.8,14060.82
Municipio PA-083,PA,Pará,Norte,6419,820.09,77386.55,12055.86
Municipio MA-015,MA,Maranhão,Nordeste,4767,712.78,64158.96,13458.98
Municipio PR-298,PR,Paraná,Sul,18890,2371.9,614755.87,32543.98
Municipio SP-441,SP,São Paulo,Sudeste,18041,1761.13,440413.01,24411.78
Municipio PR-381,PR,Paraná,Sul,20364,1979.99,733325.43,36010.87
Municipio PI-131,PI,Piauí,Nordeste,4101,783.07,56145.09,13690.59
Municipio MG-675,MG,Minas Gerais,Sudeste,3942,1759.4,117543.5,29818.24
Municipio RS-010,RS,Rio Grande do Sul,Sul,15542,2078.37,471877.6,30361.45
Municipio SP-511,SP,São Paulo,Sudeste,10885,1081.41,169503.58,15572.22
Municipio TO-110,TO,Tocantins,Norte,6428,1074.26,76351.71,11877.99
Municipio PI-095,PI,Piauí,Nordeste,101060,660.85,1259255.2,12460.47
Municipio MG-781,MG,Minas Gerais,Sudeste,21439,2472.15,626980.39,29244.85
Municipio SP-558,SP,São Paulo,Sudeste,25837,1765.8,774234.18,29966.1
Municipio AP-007,AP,Amapá,Norte,10523,1260.04,144387.8,13721.16
Municipio PR-380,PR,Paraná,Sul,780,1087.28,11645.62,14930.28
Municipio MT-070,MT,Mato Grosso,Centro-Oeste,1578,1715.08,38492.94,24393.5
Municipio TO-022,TO,Tocantins,Norte,12938,765.54,115122.16,8897.99
Municipio GO-076,GO,Goiás,Centro-Oeste,20625,2187.82,652309.73,31627.14
Municipio PA-020,PA,Pará,Norte,58716,769.31,556847.42,9483.74
Municipio MG-780,MG,Minas Gerais,Sudeste,3033,1558.92,76658.19,25274.71
Municipio RS-327,RS,Rio Grande do Sul,Sul,2244,1510.99,60036.01,26754.02
Municipio PR-124,PR,Paraná,Sul,12807,2524.66,543968.38,42474.3
Municipio PR-052,PR,Paraná,Sul,88574,1879.79,2450625.26,27667.55
Municipio PA-095,PA,Pará,Norte,34513,730.05,419024.84,12141.07
Municipio GO-233,GO,Goiás,Centro-Oeste,6883,2065.09,208250.87,30255.83
Municipio PR-145,PR,Paraná,Sul,16667,2076.25,483849.09,29030.36
Municipio PR-127,PR,Paraná,Sul,780,2204.72,23640.18,30307.92
Municipio RN-098,RN,Rio Grande do Norte,Nordeste,74362,864.5,959462.71,12902.59
Municipio AM-054,AM,Amazonas,Norte,14985,945.48,191393.61,12772.35
Municipio PE-003,PE,Pernambuco,Nordeste,25829,755.49,217938.16,8437.73
Municipio PI-156,PI,Piauí,Nordeste,16415,636.92,140427.29,8554.82
Municipio MA-179,MA,Maranhão,Nordeste,36178,1184.29,801461.65,22153.29
Municipio CE-110,CE,Ceará,Nordeste,5256,1301.5,127980.26,24349.36
Municipio RR-013,RR,Roraima,Norte,2725,1085.59,50313.45,18463.65
Municipio RN-148,RN,Rio Grande do Norte,Nordeste,10781,585.62,80175.69,7436.76
Municipio MG-015,MG,Minas Gerais,Sudeste,3589,1352.04,54969.34,15316.06
Municipio SP-437,SP,São Paulo,Sudeste,2382,1582.76,68981.22,28959.37
Municipio MG-337,MG,Minas Gerais,Sudeste,21050,1779.49,644757.2,30629.8
Municipio CE-150,CE,Ceará,Nordeste,219436,1144.32,4068904.77,18542.56
Municipio BA-111,BA,Bahia,Nordeste,3507,717.35,42396.56,12089.12
Municipio BA-369,BA,Bahia,Nordeste,7801,1065.58,141596.48,18151.07
Municipio MA-032,MA,Maranhão,Nordeste,4273,593.73,30731.66,7192.06
Municipio BA-174,BA,Bahia,Nordeste,28471,744.23,265278.88,9317.51
Municipio MA-145,MA,Maranhão,Nordeste,2077,651.44,24068.03,11587.88
Municipio PA-071,PA,Pará,Norte,15286,881.65,240244.46,15716.63
Municipio SP-124,SP,São Paulo,Sudeste,18809,1085.08,286514.63,15232.85
Municipio MG-441,MG,Minas Gerais,Sudeste,5019,1934.96,112934.85,22501.46
Municipio SE-070,SE,Sergipe,Nordeste,19499,1276.61,395403.1,20278.12
Municipio RN-079,RN,Rio Grande do Norte,Nordeste,8497,1025.69,147595.69,17370.33
Municipio SP-344,SP,São Paulo,Sudeste,4774,1807.94,96999.45,20318.28
Municipio BA-294,BA,Bahia,Nordeste,7401,881.51,112620.48,15216.93
Municipio GO-205,GO,Goiás,Centro-Oeste,9676,986.53,137016.63,14160.46
Municipio RS-301,RS,Rio Grande do Sul,Sul,30263,1807.64,745056.28,24619.38
Municipio GO-121,GO,Goiás,Centro-Oeste,2657,2066.0,68407.42,25746.11
Municipio GO-179,GO,Goiás,Centro-Oeste,12227,1512.73,309607.74,25321.64
Municipio SP-237,SP,São Paulo,Sudeste,11750,1212.17,177493.41,15105.82
Municipio MG-261,MG,Minas Gerais,Sudeste,14005,1824.34,382418.82,27305.88
Municipio RS-350,RS,Rio Grande do Sul,Sul,67225,1946.76,2200996.08,32740.74
Municipio GO-071,GO,Goiás,Centro-Oeste,2628,1430.91,41927.63,15954.2
Municipio SC-225,SC,Santa Catarina,Sul,8953,2287.55,332129.19,37096.97
Municipio PR-019,PR,Paraná,Sul,97672,1043.92,1646776.29,16860.27
Municipio SP-300,SP,São Paulo,Sudeste,22714,2160.27,623516.47,27450.76
Municipio RS-488,RS,Rio Grande do Sul,Sul,2382,2154.71,62405.11,26198.62
Municipio RS-070,RS,Rio Grande do Sul,Sul,3890,1399.72,71267.02,18320.57
Municipio MG-218,MG,Minas Gerais,Sudeste,7554,1370.5,171623.35,22719.53
Municipio RJ-049,RJ,Rio de Janeiro,Sudeste,38210,1501.31,721589.08,18884.82
Municipio TO-103,TO,Tocantins,Norte,7808,633.59,78541.13,10059.06
Municipio PA-081,PA,Pará,Norte,3557,1138.1,69324.67,19489.65
Municipio MA-075,MA,Maranhão,Nordeste,68202,883.74,946472.59,13877.49
Municipio RN-016,RN,Rio Grande do Norte,Nordeste,20135,609.55,184258.77,9151.17
Municipio MG-313,MG,Minas Gerais,Sudeste,21343,2447.55,967033.51,45309.17
Municipio SP-627,SP,São Paulo,Sudeste,7412,2162.86,272059.45,36705.27
Municipio BA-045,BA,Bahia,Nordeste,7073,1269.68,171804.79,24290.23
Municipio RO-044,RO,Rondônia,Norte,10105,1078.66,174619.15,17280.47
Municipio MG-600,MG,Minas Gerais,Sudeste,3139,2023.76,115613.86,36831.43
Municipio PI-052,PI,Piauí,Nordeste,4290,1173.36,71482.22,16662.52
Municipio AM-023,AM,Amazonas,Norte,89611,1184.37,1573925.12,17563.97
Municipio PR-153,PR,Paraná,Sul,1252,1525.45,25489.95,20359.38
Municipio MG-130,MG,Minas Gerais,Sudeste,142384,1668.44,3586271.33,25187.32
Municipio PR-064,PR,Paraná,Sul,7330,1440.05,175257.05,23909.56
Municipio MG-035,MG,Minas Gerais,Sudeste,780,1621.37,17822.38,22849.21
Municipio RN-090,RN,Rio Grande do Norte,Nordeste,23559,1205.3,454507.21,19292.3
Municipio PE-021,PE,Pernambuco,Nordeste,2876,1062.56,44027.7,15308.66
Municipio SP-582,SP,São Paulo,Sudeste,16363,1546.07,374773.91,22903.74
Municipio AC-022,AC,Acre,Norte,89017,1430.52,2012138.73,22603.98
Municipio MG-086,MG,Minas Gerais,Sudeste,10049,1334.57,145283.96,14457.55
Municipio PI-036,PI,Piauí,Nordeste,84712,1093.55,1669317.69,19705.8
Municipio RN-058,RN,Rio Grande do Norte,Nordeste,12285,710.36,138052.0,11237.44
Municipio MG-817,MG,Minas Gerais,Sudeste,17958,1795.74,532934.41,29676.71
Municipio SP-570,SP,São Paulo,Sudeste,26631,2311.22,692934.73,26019.85
Municipio GO-045,GO,Goiás,Centro-Oeste,23420,1243.11,355344.5,15172.69
Municipio PR-166,PR,Paraná,Sul,52490,2245.32,1323283.86,25210.21
Municipio TO-006,TO,Tocantins,Norte,13338,1139.02,204454.92,15328.75
Municipio GO-125,GO,Goiás,Centro-Oeste,11396,1222.35,219654.78,19274.73
Municipio PB-009,PB,Paraíba,Nordeste,27373,1284.26,569183.66,20793.62
Municipio SP-414,SP,São Paulo,Sudeste,12215,1722.53,286245.74,23433.95
Municipio PB-057,PB,Paraíba,Nordeste,10379,607.26,112069.61,10797.73
Municipio BA-120,BA,Bahia,Nordeste,9376,1131.53,122748.63,13091.79
Municipio PB-201,PB,Paraíba,Nordeste,7129,691.54,55464.31,7780.1
Municipio MG-598,MG,Minas Gerais,Sudeste,2427,1869.66,82760.15,34099.77
Municipio GO-234,GO,Goiás,Centro-Oeste,34287,1381.28,784969.33,22894.08
Municipio BA-170,BA,Bahia,Nordeste,1950,706.77,24571.77,12600.91
Municipio AM-048,AM,Amazonas,Norte,1691,702.74,22429.57,13264.09
Municipio SP-530,SP,São Paulo,Sudeste,20644,1072.77,253748.45,12291.63
Municipio RJ-056,RJ,Rio de Janeiro,Sudeste,36653,2218.34,1495751.96,40808.45
Municipio MG-763,MG,Minas Gerais,Sudeste,13046,2185.61,532373.8,40807.44
Municipio PE-014,PE,Pernambuco,Nordeste,32617,1176.9,632761.13,19399.73
Municipio RS-257,RS,Rio Grande do Sul,Sul,11247,2148.7,383201.39,34071.43
Municipio PA-131,PA,Pará,Norte,5989,955.5,109410.9,18268.64
Municipio TO-045,TO,Tocantins,Norte,16834,1213.7,278194.72,16525.76
Municipio CE-021,CE,Ceará,Nordeste,4523,991.26,75916.07,16784.45
Municipio RS-105,RS,Rio Grande do Sul,Sul,26712,2377.61,707731.35,26494.88
Municipio PR-154,PR,Paraná,Sul,4895,2468.97,172610.31,35262.58
