municipio,uf,estado,regiao,populacao,renda_media_mensal,pib_anual_mil_reais,pib_per_capita_reais
Lagoa dos Campos do Cerrado,SP,São Paulo,Sudeste,4373,2221.64,155768.31,35620.47
Alto Alegre do Campo,SP,São Paulo,Sudeste,2311,1187.83,49786.03,21543.07
Novo do Sul Central,PB,Paraíba,Nordeste,5186,1001.14,98995.51,19088.99
Aracê Feliz Central,MG,Minas Gerais,Sudeste,203956,1123.89,3212747.5,15752.16
Porto dos Campos de Minas,TO,Tocantins,Norte,8900,621.94,85726.81,9632.23
Lagoa do Vale,RS,Rio Grande do Sul,Sul,42496,2038.9,1143063.93,26898.15
Serra Claro do Cerrado,MT,Mato Grosso,Centro-Oeste,18559,1773.84,468515.76,25244.67
Rio Alegre Menor,PI,Piauí,Nordeste,13657,806.85,202691.23,14841.56
Cachoeira Grande do Oeste,MG,Minas Gerais,Sudeste,8390,2276.96,314637.23,37501.46
Aracê Azul de Minas,PA,Pará,Norte,301685,892.54,4811800.06,15949.75
Novo Dourado do Cerrado,PR,Paraná,Sul,6178,2458.05,167040.75,27038.0
Lagoa dos Campos do Leste,TO,Tocantins,Norte,2574,894.48,38674.77,15025.16
Rio Redonda do Campo,GO,Goiás,Centro-Oeste,6489,1707.51,161293.39,24856.43
Nova Belo do Campo,SC,Santa Catarina,Sul,11342,1339.56,290907.57,25648.7
Barra Esperança do Leste,BA,Bahia,Nordeste,3995,1314.14,100309.92,25108.87
Serra Alegre do Campo,SP,São Paulo,Sudeste,9806,1697.76,245154.69,25000.48
Nova Formosa Paulista,ES,Espírito Santo,Sudeste,43502,1141.33,707479.43,16263.15
Cachoeira Aurora do Campo,PR,Paraná,Sul,17577,1819.37,398401.93,22666.09
Campo Feliz das Palmeiras,TO,Tocantins,Norte,9232,1392.19,193113.97,20917.89
Aracê Vitória Menor,TO,Tocantins,Norte,17003,1379.89,428935.88,25227.07
Novo Belo da Mata,MA,Maranhão,Nordeste,11516,636.78,81969.84,7117.91
Porto Feliz do Oeste,SP,São Paulo,Sudeste,13780,1541.64,332011.83,24093.75
Pinheiro do Norte Paulista,MG,Minas Gerais,Sudeste,10199,1609.74,184752.01,18114.72
Jaboti Feliz,BA,Bahia,Nordeste,3006,743.06,27774.72,9239.76
Ribeirão Azul de Minas,PE,Pernambuco,Nordeste,10481,619.32,121092.72,11553.55
Santa da Serra do Campo,MG,Minas Gerais,Sudeste,28536,1432.49,612887.85,21477.71
Serra Bonita,MG,Minas Gerais,Sudeste,3036,1166.03,63105.17,20785.63
Aracê Preto Central,SC,Santa Catarina,Sul,6586,2353.86,289760.08,43996.37
Boa União Paulista,PR,Paraná,Sul,66084,2481.02,1830388.44,27697.91
Vila Alegre do Oeste,SE,Sergipe,Nordeste,3144,970.44,35678.97,11348.27
Aracê Vitória do Cerrado,BA,Bahia,Nordeste,30129,1022.08,535178.77,17762.91
Cruz Formosa,SC,Santa Catarina,Sul,26460,2543.76,1052389.14,39772.83
Coração do Vale do Cerrado,RS,Rio Grande do Sul,Sul,136448,2573.58,4607217.63,33765.37
Porto Redonda Colonial,RN,Rio Grande do Norte,Nordeste,2789,678.82,35608.87,12767.61
Cachoeira Verde Colonial,SC,Santa Catarina,Sul,19650,2528.04,711394.73,36203.29
Coração Dourado,RS,Rio Grande do Sul,Sul,3819,1103.58,78712.62,20610.79
Nova Bonita Maior,PA,Pará,Norte,11059,791.33,147567.93,13343.7
Porto Vitória Maior,SE,Sergipe,Nordeste,18224,1056.97,229294.08,12581.98
Bela União da Mata,MA,Maranhão,Nordeste,11444,800.39,168203.46,14697.96
Porto Aurora das Palmeiras,MG,Minas Gerais,Sudeste,33759,1360.53,722961.55,21415.37
Serra Azul da Mata,RS,Rio Grande do Sul,Sul,31252,2058.71,734678.06,23508.19
Pinheiro União do Oeste,MA,Maranhão,Nordeste,32001,568.55,335785.39,10492.97
Aracê dos Campos do Oeste,SC,Santa Catarina,Sul,1818,1734.23,58273.93,32053.87
Alto Feliz do Campo,TO,Tocantins,Norte,934,650.55,9766.46,10456.6
Boa Alegre das Palmeiras,RS,Rio Grande do Sul,Sul,42665,1204.57,812518.94,19044.16
Coração Claro do Campo,BA,Bahia,Nordeste,154252,1182.09,2546277.27,16507.26
Bela Aurora de Minas,MG,Minas Gerais,Sudeste,24302,1611.18,617518.32,25410.19
Vale Alegre do Campo,TO,Tocantins,Norte,3290,1193.65,68747.41,20895.87
Ipê Alegre Menor,MG,Minas Gerais,Sudeste,20432,1218.64,338275.87,16556.18
Aracê Grande,MT,Mato Grosso,Centro-Oeste,9922,2277.04,270313.7,27243.87
Vila Formosa Paulista,PI,Piauí,Nordeste,10764,822.51,140494.59,13052.27
Boa dos Campos do Leste,SP,São Paulo,Sudeste,7419,1213.67,147271.03,19850.52
Alto do Norte do Cerrado,SP,São Paulo,Sudeste,8750,2071.76,217031.5,24803.6
Porto Verde Central,PB,Paraíba,Nordeste,14828,1059.95,278521.81,18783.5
Barra Aurora das Palmeiras,GO,Goiás,Centro-Oeste,11490,2316.22,465898.95,40548.21
Vale Preto Menor,RN,Rio Grande do Norte,Nordeste,7268,1135.02,151257.15,20811.39
Nova Aurora Colonial,PI,Piauí,Nordeste,20786,1183.18,385738.23,18557.6
Boa Redonda das Palmeiras,PB,Paraíba,Nordeste,21931,976.44,267930.41,12216.97
Novo Formosa,SP,São Paulo,Sudeste,780,2235.63,28199.76,36153.54
Pinheiro da Serra do Campo,BA,Bahia,Nordeste,3118,600.78,29595.27,9491.75
Bela Dourado Menor,GO,Goiás,Centro-Oeste,6787,1802.38,175642.59,25879.27
Vale Esperança Maior,SP,São Paulo,Sudeste,8346,1385.48,157532.5,18875.21
Boa Formosa das Palmeiras,SP,São Paulo,Sudeste,15123,2117.63,544980.71,36036.55
Monte Belo de Minas,MG,Minas Gerais,Sudeste,7818,1198.91,156418.95,20007.54
Rio das Flores Central,SC,Santa Catarina,Sul,2431,2430.06,105528.38,43409.45
Palmeira dos Campos Maior,SP,São Paulo,Sudeste,2788,1660.86,71612.25,25685.89
Barra do Vale,MG,Minas Gerais,Sudeste,1506,2318.73,66520.51,44170.33
Palmeira Feliz,BA,Bahia,Nordeste,2866,1266.64,50835.08,17737.29
Serra do Vale Central,SC,Santa Catarina,Sul,49506,1258.12,728395.6,14713.28
Ribeirão do Vale de Minas,MT,Mato Grosso,Centro-Oeste,13051,2061.65,481306.18,36878.87
Cachoeira das Flores de Minas,MG,Minas Gerais,Sudeste,20628,1096.56,317479.97,15390.73
Alto Vitória Menor,PR,Paraná,Sul,6745,2218.08,206263.62,30580.23
Jaboti do Sul do Leste,PI,Piauí,Nordeste,21619,1206.1,395328.78,18286.17
Nova Horizonte Maior,BA,Bahia,Nordeste,7616,852.7,122598.43,16097.48
Lagoa Alegre da Mata,PE,Pernambuco,Nordeste,52855,1146.27,966811.08,18291.76
Santa Aurora das Palmeiras,SC,Santa Catarina,Sul,6377,1772.61,164712.06,25829.08
Bela Dourado,SC,Santa Catarina,Sul,12890,1610.09,298750.45,23176.92
Rio Branco do Campo,SC,Santa Catarina,Sul,16031,1793.39,420031.37,26201.2
Jaboti Vitória das Palmeiras,PR,Paraná,Sul,15266,1293.76,239262.33,15672.89
São Redonda Maior,SC,Santa Catarina,Sul,57883,2294.14,1607974.92,27779.74
Lagoa Verde Menor,PR,Paraná,Sul,4819,1636.55,100774.02,20911.81
Cachoeira Redonda das Palmeiras,GO,Goiás,Centro-Oeste,37414,2192.87,1445195.25,38627.12
Novo Redonda do Campo,SP,São Paulo,Sudeste,43223,2137.74,1642329.45,37996.66
Palmeira Alegre do Campo,AM,Amazonas,Norte,13389,814.43,204040.69,15239.43
Cachoeira do Vale do Leste,MA,Maranhão,Nordeste,5217,877.3,51899.37,9948.13
Ribeirão Feliz da Mata,SP,São Paulo,Sudeste,15399,1783.04,353714.18,22969.94
Santo Redonda do Oeste,MG,Minas Gerais,Sudeste,8089,1505.38,221464.54,27378.48
Palmeira Preto Menor,RN,Rio Grande do Norte,Nordeste,53885,554.08,497251.43,9228.01
Ribeirão Bonita do Oeste,PI,Piauí,Nordeste,17493,877.28,185025.22,10577.1
Rio do Vale de Minas,MA,Maranhão,Nordeste,10454,857.2,146991.8,14060.82
Porto Alegre,PA,Pará,Norte,6419,820.09,77386.55,12055.86
Boa da Serra Menor,MA,Maranhão,Nordeste,4767,712.78,64158.96,13458.98
Coração do Sul do Leste,PR,Paraná,Sul,18890,2371.9,614755.87,32543.98
Monte Bonito,SP,São Paulo,Sudeste,18041,1761.13,440413.01,24411.78
Santo Bonito,PR,Paraná,Sul,20364,1979.99,733325.43,36010.87
Vila Alegre do Cerrado,PI,Piauí,Nordeste,4101,783.07,56145.09,13690.59
Campo Verde,MG,Minas Gerais,Sudeste,3942,1759.4,117543.5,29818.24
Rio Azul Maior,RS,Rio Grande do Sul,Sul,15542,2078.37,471877.6,30361.45
Cachoeira Esperança,SP,São Paulo,Sudeste,10885,1081.41,169503.58,15572.22
Bela Azul Maior,TO,Tocantins,Norte,6428,1074.26,76351.71,11877.99
Pinheiro Formosa Paulista,PI,Piauí,Nordeste,101060,660.85,1259255.2,12460.47
Santo Dourado do Oeste,MG,Minas Gerais,Sudeste,21439,2472.15,626980.39,29244.85
Palmeira Aurora,SP,São Paulo,Sudeste,25837,1765.8,774234.18,29966.1
Monte Vista Maior,AP,Amapá,Norte,10523,1260.04,144387.8,13721.16
Monte Branco Paulista,PR,Paraná,Sul,780,1087.28,11645.62,14930.28
Vila Belo de Minas,MT,Mato Grosso,Centro-Oeste,1578,1715.08,38492.94,24393.5
Santa Preto do Campo,TO,Tocantins,Norte,12938,765.54,115122.16,8897.99
Cachoeira Dourado das Palmeiras,GO,Goiás,Centro-Oeste,20625,2187.82,652309.73,31627.14
Pinheiro Branco Maior,PA,Pará,Norte,58716,769.31,556847.42,9483.74
Bela do Norte do Campo,MG,Minas Gerais,Sudeste,3033,1558.92,76658.19,25274.71
Vale das Flores Paulista,RS,Rio Grande do Sul,Sul,2244,1510.99,60036.01,26754.02
Ribeirão Belo das Palmeiras,PR,Paraná,Sul,12807,2524.66,543968.38,42474.3
Novo Esperança Colonial,PR,Paraná,Sul,88574,1879.79,2450625.26,27667.55
Ipê Belo Colonial,PA,Pará,Norte,34513,730.05,419024.84,12141.07
Palmeira do Vale Menor,GO,Goiás,Centro-Oeste,6883,2065.09,208250.87,30255.83
São Formosa Central,PR,Paraná,Sul,16667,2076.25,483849.09,29030.36
Coração Branco,PR,Paraná,Sul,780,2204.72,23640.18,30307.92
Monte do Vale Colonial,RN,Rio Grande do Norte,Nordeste,74362,864.5,959462.71,12902.59
Barra Novo de Minas,AM,Amazonas,Norte,14985,945.48,191393.61,12772.35
São Alegre Central,PE,Pernambuco,Nordeste,25829,755.49,217938.16,8437.73
Coração das Flores da Mata,PI,Piauí,Nordeste,16415,636.92,140427.29,8554.82
Cruz das Flores Colonial,MA,Maranhão,Nordeste,36178,1184.29,801461.65,22153.29
Jaboti Branco do Cerrado,CE,Ceará,Nordeste,5256,1301.5,127980.26,24349.36
Coração Formosa do Campo,RR,Roraima,Norte,2725,1085.59,50313.45,18463.65
Vale Preto Colonial,RN,Rio Grande do Norte,Nordeste,10781,585.62,80175.69,7436.76
Serra do Norte do Campo,MG,Minas Gerais,Sudeste,3589,1352.04,54969.34,15316.06
Porto Real,SP,São Paulo,Sudeste,2382,1582.76,68981.22,28959.37
Santa Grande Colonial,MG,Minas Gerais,Sudeste,21050,1779.49,644757.2,30629.8
Cachoeira Real Central,CE,Ceará,Nordeste,219436,1144.32,4068904.77,18542.56
Ipê Bonita Central,BA,Bahia,Nordeste,3507,717.35,42396.56,12089.12
Vale Horizonte do Cerrado,BA,Bahia,Nordeste,7801,1065.58,141596.48,18151.07
Boa Verde,MA,Maranhão,Nordeste,4273,593.73,30731.66,7192.06
Coração Vista do Leste,BA,Bahia,Nordeste,28471,744.23,265278.88,9317.51
Santo União de Minas,MA,Maranhão,Nordeste,2077,651.44,24068.03,11587.88
Alto Grande do Oeste,PA,Pará,Norte,15286,881.65,240244.46,15716.63
Cachoeira Formosa do Cerrado,SP,São Paulo,Sudeste,18809,1085.08,286514.63,15232.85
São Aurora Colonial,MG,Minas Gerais,Sudeste,5019,1934.96,112934.85,22501.46
Santo Formosa Central,SE,Sergipe,Nordeste,19499,1276.61,395403.1,20278.12
Monte Vitória Menor,RN,Rio Grande do Norte,Nordeste,8497,1025.69,147595.69,17370.33
Monte do Sul,SP,São Paulo,Sudeste,4774,1807.94,96999.45,20318.28
Bela Bonito do Leste,BA,Bahia,Nordeste,7401,881.51,112620.48,15216.93
Coração Vista do Cerrado,GO,Goiás,Centro-Oeste,9676,986.53,137016.63,14160.46
Coração dos Campos Menor,RS,Rio Grande do Sul,Sul,30263,1807.64,745056.28,24619.38
Aracê do Sul Paulista,GO,Goiás,Centro-Oeste,2657,2066.0,68407.42,25746.11
Lagoa da Serra do Cerrado,GO,Goiás,Centro-Oeste,12227,1512.73,309607.74,25321.64
Novo Azul,SP,São Paulo,Sudeste,11750,1212.17,177493.41,15105.82
Palmeira Branco,MG,Minas Gerais,Sudeste,14005,1824.34,382418.82,27305.88
Aracê Novo de Minas,RS,Rio Grande do Sul,Sul,67225,1946.76,2200996.08,32740.74
Porto do Sul,GO,Goiás,Centro-Oeste,2628,1430.91,41927.63,15954.2
Lagoa Real do Oeste,SC,Santa Catarina,Sul,8953,2287.55,332129.19,37096.97
Monte Belo,PR,Paraná,Sul,97672,1043.92,1646776.29,16860.27
Boa Verde de Minas,SP,São Paulo,Sudeste,22714,2160.27,623516.47,27450.76
São dos Campos do Cerrado,RS,Rio Grande do Sul,Sul,2382,2154.71,62405.11,26198.62
Bela Belo,RS,Rio Grande do Sul,Sul,3890,1399.72,71267.02,18320.57
Novo Vista do Cerrado,MG,Minas Gerais,Sudeste,7554,1370.5,171623.35,22719.53
São Real Colonial,RJ,Rio de Janeiro,Sudeste,38210,1501.31,721589.08,18884.82
Alto do Vale Maior,TO,Tocantins,Norte,7808,633.59,78541.13,10059.06
Nova Real das Palmeiras,PA,Pará,Norte,3557,1138.1,69324.67,19489.65
Nova Grande Maior,MA,Maranhão,Nordeste,68202,883.74,946472.59,13877.49
Vale da Serra da Mata,RN,Rio Grande do Norte,Nordeste,20135,609.55,184258.77,9151.17
São Branco do Campo,MG,Minas Gerais,Sudeste,21343,2447.55,967033.51,45309.17
Vale Branco Menor,SP,São Paulo,Sudeste,7412,2162.86,272059.45,36705.27
Aracê Claro Menor,BA,Bahia,Nordeste,7073,1269.68,171804.79,24290.23
Porto Alegre Colonial,RO,Rondônia,Norte,10105,1078.66,174619.15,17280.47
Pinheiro Bonita das Palmeiras,MG,Minas Gerais,Sudeste,3139,2023.76,115613.86,36831.43
Boa Grande de Minas,PI,Piauí,Nordeste,4290,1173.36,71482.22,16662.52
Jaboti Verde,AM,Amazonas,Norte,89611,1184.37,1573925.12,17563.97
Ribeirão Vista das Palmeiras,PR,Paraná,Sul,1252,1525.45,25489.95,20359.38
Jaboti Aurora do Leste,MG,Minas Gerais,Sudeste,142384,1668.44,3586271.33,25187.32
Vale Redonda Central,PR,Paraná,Sul,7330,1440.05,175257.05,23909.56
Novo Redonda Paulista,MG,Minas Gerais,Sudeste,780,1621.37,17822.38,22849.21
Alto Claro Paulista,RN,Rio Grande do Norte,Nordeste,23559,1205.3,454507.21,19292.3
Lagoa dos Campos do Campo,PE,Pernambuco,Nordeste,2876,1062.56,44027.7,15308.66
Bela Preto do Leste,SP,São Paulo,Sudeste,16363,1546.07,374773.91,22903.74
Barra Formosa da Mata,AC,Acre,Norte,89017,1430.52,2012138.73,22603.98
Boa Alegre,MG,Minas Gerais,Sudeste,10049,1334.57,145283.96,14457.55
Pinheiro Redonda de Minas,PI,Piauí,Nordeste,84712,1093.55,1669317.69,19705.8
São Bonito Maior,RN,Rio Grande do Norte,Nordeste,12285,710.36,138052.0,11237.44
Bela dos Campos do Oeste,MG,Minas Gerais,Sudeste,17958,1795.74,532934.41,29676.71
Boa do Norte,SP,São Paulo,Sudeste,26631,2311.22,692934.73,26019.85
Coração Belo,GO,Goiás,Centro-Oeste,23420,1243.11,355344.5,15172.69
Vila da Serra Paulista,PR,Paraná,Sul,52490,2245.32,1323283.86,25210.21
Lagoa Preto do Cerrado,TO,Tocantins,Norte,13338,1139.02,204454.92,15328.75
